Is Complete?,Name,Email,Company Name,Provider Type,Category,Hero Image,Hero File Name,Membership Tier,Logo Image,Logo File Name,Street,City,State,Zip,Phone,Website,Description,Lat,Lng,National
yes,,invalid@visitingangels.com,Visiting Angels,In Home Care Services,- Aging In Place,,aginginplace.jpeg,,,,2365 SW Cedar Hills Blvd,Portland,OR,97225,(503) 297-7000,https://www.visitingangels.com/portland/home/?utm_source=gmb&utm_medium=organic&utm_campaign=local,"At Visiting Angels, we understand you want top quality senior home care services for your loved one. You're searching for a qualified, professional elder care provider who will treat your family member with respect and dignity. We can help you find the senior home care provider that meets all your needs. Our senior home care providers are professionals with the training and skills you have been searching for. We’ll match you with a senior home care provider who will care for all your loved one’s health and well-being needs.",45.5030406,-122.804022,
yes,,invalid@lawnlove.com,Lawn Love,Yard Services,- Aging In Place,,aginginplace.jpeg,,,,715 NW Hoyt St # 5482,Portland ,OR,97208,503-446-1768,https://lawnlove.com/oregon/portland-lawn-care,"Looking for the top rated Portland lawn care services? Lawn Love is your lawn care service near me answer. Get an instant quote for lawn care services near you such as lawn aeration, lawn mowing, leaf removal, gutter cleaning, gardening, yard care, weed control and more. See why we're rated the #1 Portland, OR lawn care service company. If you've ever been in a lawn care jam and said I need lawn care services near me that are fast and affordable then Lawn Love is your lawn care service answer! Call today! Sit back, relax, and let the experts at Lawn Love handle all of your lawn care service needs.",45.49486,-122.64212,
yes,,invalid@greenhandsyard.com,Green Hands Yard,Yard Services,- Aging In Place,,,,,,4730 SW 84th Ct,Tigard,OR,97224,(971) 222-9900,http://greenhandsyard.com/?fbclid=IwAR1womawD0--Duk8Cxu7JbcKflYhYthCdunBNCzPKc0_dH_PpnvCpt-6kvs,"Are you trying to find a lawn care specialist who can guarantee excellent quality at fair prices? Have you ever dreamed of having that perfectly green, healthy and fresh grass on your front lawn? Do you want to be proud of the way it looks and contributes to the aesthetic appeal of your entire property? If you want to have a unique appearance for your home that no other lawn care company in the area can provide, we are here for you! 

Green Hands Yard Maintenance has many years of loyal and dedicated service in Tigard, OR. We have expertise and skill with many different techniques used in the industry and follow all recent standards of our trade.",45.413468,-122.76373,
yes,,aj_landscape_maint@frontier.com,A&J Lawn Maintenance,Yard Services,- Aging In Place,,,,,,17845 SW Baseline Road,Beaverton,OR,97006,(503) 641-5782,https://www.portlandlandscapemaintenance.com/,"At A & J Landscape Maintenance Inc., we take pride in offering our residential and commercial customers quality workmanship and personalized service at competitive rates.

Whether you need lawn mowing and weed trimming or you want someone to remove trees and debris from your property, we beautify and maintain your lawns. 

You can rely on us for all of your small engine and lawn equipment repair services as well.",45.5137244,-122.8604172,
yes,,invalid@multco.us,"Multnomah County Aging, Disability and Veterans Services",State Specific,- Benefit Programs,,,,,,10615 SE Cherry Blossom Dr,Portland,or,97216,(503) 988-5480,https://multco.us/ads,"Call the Aging and Disability Resource Connection (ADRC) at 503.988.3646 or email adrc@multco.us (link sends e-mail), for 24-hour information and assistance to seniors (older people), people with disabilities, and caregivers.  Or search the ADRC online database (link is external).
Get needs assessed, identify services and connect with providers of those services.
Call now and we can help you with:

- Searching for resources
- Enrolling in government programs
- Investigating possible abuse
- Finding guardianship services
- Locating adult care homes
- Connecting with culturally-specific services
- Support for unpaid family caregivers",45.515031,-122.5536048,
yes,Donna Delikat,adrc@multco.us ,SHIBA,State Specific,- Benefit Programs,,,,,,350 Winter St. NE,Salem,OR,97309,1-800-722-4134 ,https://healthcare.oregon.gov/shiba/Pages/index.aspx,The Senior Health Insurance Beneﬁts Assistance program (SHIBA) is part of the Insurance Division of the Oregon Department of Consumer & Business Services (DCBS). SHIBA is a statewide network of trained volunteers who provide one-on-one assistance to people with Medicare.,44.9410181,-123.0303546,
yes,,invalid@oregon.gov,SMP,State Specific,- Benefit Programs,,,,,,9035 Foster Rd,portland,OR,97266,503-872-8822,https://www.oregon.gov/DHS/SENIORS-DISABILITIES/SUA/Pages/SMP.aspx,"SMP volunteers work in their communities to provide education to Medicare and Medicaid beneficiaries, their family members and their caregivers about preventing health care fraud and abuse.

The SMP seeks to empower beneficiaries through increased awareness and understanding of health care programs to protect them from the economic and health-related consequences of Medicare fraud, errors and abuse.

The Oregon SMP provides services around the state through partnerships with the Senior Health Insurance Benefits Assistance (SHIBA) program, the Office of the Long-Term Care Ombudsman (LTCO) and the Association for Oregon Centers for Independent Living (AOCIL).",45.4805729,-122.570563,
yes,,invalid@oregon.gov,Oregon Department of Veterans' Affairs,Veteran,- Benefit Programs,,,,,,700 Summer St. NE,Salem,OR,97301,503-373-2085,https://www.oregon.gov/ODVA/Benefits/Pages/default.aspx,Benefits are available to Oregon veterans from the state and federal level.,44.94432,-123.0268295,
yes,,invalid@veteranscrisisline.org,Veterans Crisis Line,Veteran,- Benefit Programs,,,,,,5100 SW Macadam Ave #400,Portland,OR,97239,1-800-273-8255,https://www.veteranscrisisline.net/get-help/hotline,"A trained responder will answer your call. The responder will ask you a few questions, such as whether you or the Veteran or Service member you’re concerned about may be in immediate danger or at risk for suicide. You will decide what to share about yourself and what you want to talk about. Learn more.",45.49486,-122.64212,
yes,,invalid@benefits.va.gov,Ebenefits,Veteran,- Benefit Programs,,,,,,100 SW Main St floor 2,Portland,OR,97204,800 827-1000,https://www.ebenefits.va.gov/ebenefits/homepage,"Elderly Veterans may be eligible for a wide-variety of benefits available to all U.S. military Veterans. VA benefits include disability compensation, pension, education and training, health care, home loans, insurance, vocational rehabilitation and employment, and burial. See our Veterans page for an overview of the benefits available to all Veterans.",45.49486,-122.64212,
yes,,CaringHandsdap@gmail.com,Caring Hands Senior Home,Assisted Living,- Care Communities,,,,,,8760 NW Cornell Road,Portland,OR,97229,503 975 6024,https://www.caringhandsseniorhome.com/,"At Caring Hands Senior Home, we are more than just a caregiving facility.  We believe in the tremendous value of our elders, we believe in growth through generational connection, and we believe in honoring persons through holistic individualized care. Our vision is care for the whole being.  Together, we are a home, a family, a community, and it is not lost on us that while we strive to enrich the lives of our elders, we, in turn, gain the opportunity for our own lives to be deepened.  Therefore, it is easy for us to say that we are more than simply a caregiving facility.

With over 10 years of experience, we have tailored our home to promote the optimal degree of autonomy and independence.  At Caring Hands Senior Home we offer personalized and compassionate medical care to support all aspects of each person’s care needs. With an industry leading caregiver to resident ratio of 1 to 5, your loved one will receive exceptional and personalized care that is unmatched by assisted living systems and institutionalized long-term care facilities.  Our home has 5 private rooms, which not only makes this a real home, but enables us to provide your loved one with exceptional comfort while professionally meeting individual care needs.",45.5290277,-122.7669969,
yes,,invalid@maryswoods.com,Marys Woods,Assisted Living,- Care Communities,,,,,,17400 Holy Names Drive,Lake Oswego,OR,97034,(503) 505-6779,https://seniorlivingenvoy.com/marys-woods/?gclid=CjwKCAiA-P7xBRAvEiwAow-VaQBw1r2lOdvWULPR2vqzJsd-becy2-VxapR5wg5N2ZyTP-mGZa-DCRoCGkAQAvD_BwE,"Genuine, expert care is the hallmark of our assisted living and memory care. In assisted living, we offer the professional support, health services and community relationships your loved one needs. We lend a helping hand with their daily routines, accommodate their unique needs and preferences, and ensure they can live as independently as possible. For our memory care residents, we create individual care plans, coordinate meaningful activities and evidence-based programs, and treat them with compassion and respect.",45.4013472,-122.650248,
yes,,invalid@courtyardattabor.com,Courtyard at Mt Tabor,Assisted Living,- Care Communities,,,,,,6125 SE Division St.,Portland,OR,97026,(503) 788-0896,https://courtyardatmttabor.com/,"Located at the base of Mt. Tabor in southeast Portland, Oregon, Courtyard at Mt. Tabor is an award-winning, resort-style senior living community. At Courtyard at Mt. Tabor, we offer you or your loved ones a beautiful blend of privacy, luxury and community to create a warm and familiar environment. We strive to create a place of comfort and enjoyment so all of our residents can live life vibrantly.",45.5058541,-122.5999591,
yes,,jhoge@caringtransitions.com,Caring Transitions,Assisted Living,- Care Communities,,,,,,3365 Azalea Dr S,Salem,OR,97302,971-888-7386,http://www.caringtransitionsofsalem.com/,"Whether you’re de-cluttering, downsizing or clearing the estate of someone who has passed, the project you’re facing can be daunting and overwhelming. At Caring Transitions, we’re here to take the worry and stress out of those life transitions so you can spend more time with your loved ones and start your next chapter on the right foot.
 
I’m John W. Hoge III, the owner of Caring Transitions of Salem, and I understand what you’re going through. When my grandfather passed away, I saw my grieving, elderly grandmother faced with being alone and trying to take care of a 3,600-square-foot house. When I decided I wanted to open my own business, the challenges she faced inspired me to launch Caring Transitions of Salem. This business gives me the tools I need to help other families manage the transitions they’re facing while serving as a resource for this community.",45.5163535,-122.6893527,
yes,,info@miramontpointe.com,Miramont Poinet,Assisted Living,- Care Communities,,,,,,11520 SE Sunnyside Road,Clackamas,OR,97015,503-698-1600,https://miramontpointe.com/,"Step into Miramont Pointe and take comfort in knowing that you have come to the right place. We have been a part of the Clackamas community for many years, delivering a lifestyle of care, value and well-being amidst a beautiful setting.

Here you will find a thriving community of residents from all walks of life enjoying outstanding senior living. It is our commitment to help each resident lead a purposeful life and strive to deliver the highest quality of service.",45.526579,-122.5888754,
yes,,invalid@lamberthouse.com,Lambert House Adult Day Center,Day Center Care,- Care Communities,,,,,,2600 SE 170th Avenue,Portland,OR,97236,(503) 760-2075,https://www.voa.org/senior_living_and_care_facilities/lambert-house-adult-day-center,"Adult Day Centers are structured programs that meet the needs of functionally and/or cognitively impaired adults. They feature individually planned social and support services, supervision, and health monitoring in a protective setting during the day, and facilitate increased well-being of the entire family. Through the creation of a balanced system, caregivers are able to maintain home-based care.",45.5037263,-122.4868477,
yes,,info@gentog.com,Gentog,Day Center Care,- Care Communities,,,,,,"
11535 SW Durham Rd #C5",Tigard,OR,97224,503-639-2600,https://www.gentog.com/,"At Gentog, LLC, we choose to live our Christian faith in service to all generations.  We believe that the generations belong together.  We provide daily care to seniors and to children, and in doing so we serve the middle generations responsible for them",45.4057439,-122.7951305,
yes,,info@ourplaceseniordaycenter.com,Our Place Senior Day Center,Day Center Care,- Care Communities,,,,,,2319 NE Kathryn Street,Hillsboro,OR,97214,503-336-0229,http://www.ourplaceseniordaycenter.com/,"Our mission is to provide a positive daytime experience for seniors and those who are memory impaired, by promoting self-esteem, dignity, independence and purpose through enriching activities in a safe Place.",45.5389635,-122.9592975,
yes,,invalid@avemere.com,Avamere at Bethany,Independent Living,- Care Communities,,,,,,16360 NW Avamere Ct,Portland,OR,97229,503-690-2402,https://www.avamere.com/avamere-at-bethany/,"From Avamere at Bethany’s inclusive person-based, community-oriented senior living lifestyle to our rich amenities and assisted care when and where residents need it, our residents are right at home. Nestled between a beautifully manicured golf course and a public park with well-maintained walking trails in our backyard, you too can enjoy a scenic and peaceful setting to spend your hard-earned retirement. Our independent living cottages, assisted living apartments, and memory care rooms are designed to meet the care you need.",45.5492608,-122.84641,
yes,,invalid@parkviewCRC.com,Parkview Christian Retirement Community,Independent Living,- Care Communities,,,,,,"1825 NE 108th Ave,",Portland,OR,97220,503-255-7160,https://www.parkviewretirement.org/,"Now’s the time to enjoy the freedom of independent living along with the peace of mind that comes from knowing that at Parkview we check in with every resident, every day. Our daily well-being checks and 24-hour staffing give our residents and their families a sense of security knowing someone is always available to help if the need arises",45.535702,-122.5523618,
yes,,invalid@cacadepark.com,Cascade Park Retirement,Independent Living,- Care Communities,,,,,,950 North Cascade Drive,Woodburn,OR,97071,(503) 981-0033,https://www.centurypa.com/senior-living/cascade-park/independent-living,"Seniors looking for a rewarding retirement enhanced by convenience and fun find their match with independent living at Cascade Park Retirement in Woodburn, Oregon.

Independent living is much like living in your own apartment or condo. Residents are free to create their own schedule and come and go as they please. The perks of living at Cascade Park include a full list of services and amenities, an around-the-clock care team and a full calendar of social events geared toward the interests of our senior population.

Residents can focus on what they enjoy most while we take care of life’s tedious details such as housekeeping and apartment maintenance. We strive to create a laid-back environment that is fulfilling for residents and meets their needs and expectations.",45.1498315,-122.8698698,
yes,,invalid@northwestplace.com,Northwest Place,Retirement (55+) Communities,- Care Communities,,,,,,2420 NW Marshall Street,Portland,OR,97210,503.446.6190,https://www.srgseniorliving.com/communities/portland-or-northwest-place,"Enjoy an afternoon of shopping or a leisurely walk through the quiet tree-lined neighborhood. Join an off-site expedition, take off on your own via our scheduled transportation service, or stay home and relax with a best-seller on the cozy covered porch or rooftop garden. Try a gourmet meal at one of the nearby restaurants or join the happy hour downstairs with some friends.

You'll find sanctuary in the privacy of your own residence—complete with fully equipped kitchen, washer/dryer, and individual climate controls. Covered parking is available in the underground garage. And, we'll handle the maintenance and weekly housekeeping, so you don't have to.",45.5302488,-122.7011974,
yes,,invalid@springridge.com,SpringRidge at Charbonneau,Retirement (55+) Communities,- Care Communities,,,,,,32200 SW French Prairie Road,Wilsonville,OR,97070,503.925.4143,https://www.srgseniorliving.com/communities/portland-or-springridge-at-charbonneau,"SpringRidge is only a hop, a skip, and a jump from Portland, but seemingly a world away. Situated on ten acres of the natural beauty, greenery and serenity that is the residential neighborhood of Charbonneau, SpringRidge, with its manicured garden courtyards and rich architectural detailing, seems reminiscent of a French Country manor, Portland style.

Natural and architectural beauty is just the beginning, though. At SpringRidge, you can be as busy or as laid back as you like. A full range of social, cultural, and recreational activities are available for your personal growth and physical, mental, and emotional well-being. Plus, as a resident, you'll have all the benefits of a social membership at the Charbonneau Country Club next door, with its 27-hole golf course, tennis courts, and meandering walking paths.",45.2870021,-122.7675306,
yes,,manager@claremontcivic.com,Claremont,Retirement (55+) Communities,- Care Communities,,,,,,15800 NW Country Club Dr.,Portland,OR,97229,503-645-4269,https://claremontcivic.com/,"Claremont in Portland, Oregon is popular 55+ community that offers active adult living. This 556-home community includes a clubhouse with a fitness center, a nine-hole golf course and desirable single-family and attached homes. The vibrant lifestyle and small town charm of Claremont have drawn retirees from across the country.

There is endless shopping and dining as well as other exciting activities in the area which is conveniently located just 10 miles from downtown Portland. With great amenities, scenic views and an abundance of clubs to suit any interest, Claremont is the ideal place to call home. ",45.5468169,-122.8396936,
yes,Oregon Care Partners,info@oregoncarepartners.com,Oregon Care Partners,Education and Training Technology,- Caregiver Support,,CaregiverSupport.jpeg,Platinum,,,"11740 SW 68th Parkway, Ste. 250",Portland,OR,97223,1-800-930-6851,https://oregoncarepartners.com/,"Oregon Care Partners helps caregivers improve the lives and care of aging Oregonians by providing access to no-cost, high-quality trainings in all corners of the state. Oregon Care Partners’ Caregiver Training Initiative offers no-cost, in-person and online training on topics including:

Caring for someone with Alzheimer’s and other related dementias;
Strategies to manage common challenging behaviors like anger and aggression;
Safe medication management to improve health outcomes and quality of life for aging Oregonians;
Specialized training for public safety workers on Alzheimer’s and other related dementias.
Established in 2014, Oregon Care Partners receives funding from the state of Oregon, and offers trainings in collaboration with many statewide long-term care and non-profit organizations who share a vision and concern for the quality of life and care of aging Oregonians. Through these partnerships, our pooled resources and expertise allow us to reach more caregivers than a single organization could reach alone.

Oregon Care Partners trainings are available to anyone living or working in the state of Oregon.  Family members, all levels of professional caregivers and members of the public are encouraged to register and share information about Oregon Care Partners with others who would benefit from these free quality trainings.",45.43506,-122.74619,
yes,John Springer,jnt@springerandson.com,Springer and Son Funeral Home and Crematory,Funeral Home,- End of Life,,end of life.jpeg,Platinum,,logo_springer_and_son.jpg,4150 S.W. 185th,Aloha,OR,97006,503.356.1000,www.springerandson.com,"A funeral service should reflect the life of the person who is being remembered. Therefore, we offer a full range of funeral services including traditional services, cremation services, memorial services as well as special personalized services. We take pride in being flexible in all arrangements, whether that be a customary service or the option of cremation. We provide personalized choices and do so with price sensitivity, making your decisions affordable. We are an independently owned and community-based funeral service provider, offering before the need, at the time of need, and after the service, choices and options.

Services Offered Heading:  Full Service

Services List (optional):
- Funeral Insurance
- Chaplaincy Services
- Managing legal documents and certificates
- Cremation Services
- Obituary
- Caskits, Urns, and Vaults
- Funeral Service Planning
- Facility for service
- Cemetery Planning 
",45.48979,-122.866734,no
yes,,invalid@crowncremationandburial.com,Crown Cremation and Burial,Funeral Home,- End of Life,,end of life.jpeg,,,,832 NE Broadway St,Portland,OR,97232,503-783-3393,crowncremationburial.com,"We specialize in low cost cremation, burial, funerals and memorials, with six convenient locations to serve the entire Portland and Salem areas, including all surrounding communities.  At Crown these things come from our hearts. That's why you'll notice our friendly and cheerful approach to helping you plan a fitting tribute.

Unique memorial and funeral planning, cremation and burial at less than 1/2 the price of a traditional funeral home, makes Crown ""A New Tradition"".",45.5348406,-122.656817,
yes,,invalid@skylinememorial.com,Skyline Memorial Gardens Funeral Home & Skyline ,Funeral Home,- End of Life,,end of life.jpeg,,,,4101 NW Skyline Blvd,Portland,OR,97229,503-292-6611,https://www.dignitymemorial.com/,"As Dignity Memorial providers, we believe there is no greater responsibility than honoring and preserving the story of one’s life. Whether you’re planning a funeral for a loved one, or making your own arrangements in advance, the celebration of a lifetime begins with Dignity Memorial’s compassionate funeral planners. As North America’s largest provider of funeral, cremation, and cemetery services, the Dignity Memorial network cares for thousands of families each year.",45.5539569,-122.7799855,
yes,,info@memoriesrenewed.com,Memories Renewed,Photo / Video,- End of Life,,end of life.jpeg,,,,500 73rd Avenue Suite 110,Fridley,MN,55432,(888) 394-0681,https://www.memoriesrenewed.com/,"Memories Renewed is a custom digital transfer studio providing expertise in digitally preserving photo and video memories for our clients. We have been in business since 2005 and have worked with hundreds of individuals, families, organizations, and businesses on a wide range of projects",45.515249,-122.677975,
Yes,,support@digmypics.com,Dig My Pics,Photo / Video,- End of Life,,end of life.jpeg,,,,701 North Golden Key Street,Gilbert,AZ,85233,1-866-364-5952,https://digmypics.com/default.aspx,"America's Most Advanced Photo Scanning and Film Transfer Facility
Your memories get access to the best equipment, talent, and technology available.  We do all our work in uncompressed TIFF so the final output (TIFF or JPG) is at 100% quality
",45.515249,-122.677975,
Yes,,info@DiJiFi.com,Dijifi,Photo / Video,- End of Life,,end of life.jpeg,,,,1166 Manhattan Ave Suite 201,Brooklyn,NY,11222,(646) 519-2447,https://www.dijifi.com/,"A digitizing company founded in 2007, DiJiFi helps clients across the globe convert old media (photos, slides, film, audio, videos, paper documents, books, microfilm, microfiche, etc.) into digital files",45.515249,-122.677975,
yes,,hello@thinkpinnacle.com,Pinnacle ,Financial Planner,- Financial,,Financial.jpeg,Platinum,,,9200 SE Sunnybrook Blvd Suite #170,Clackamas,OR,97015,503.654.5100,http://thinkpinnacle.com/,We are locally owned and managed. We have access to quality alternative and creative investment solutions that can be tailored to each individual client. We do not charge our clients to utilize our financial planning services and software. We choose to invest in Northwest real estate to keep our money local. We maintain a global perspective and invest in international markets.,45.4293955,-122.570659,
